Date,Price,Open,Vol.,Change %,Log_Ret,RV_Daily,RV_Weekly,RV_Monthly
2000-10-16,5.364,5.45,25930.0,-3.12,-0.03174287242139804,0.0010076099495611522,0.001343819801524929,0.0006308645282474694
2000-10-17,5.439,5.352,31520.0,1.4,0.013885255021391592,0.00019280030700908043,0.0013804434119039023,0.0006394248151577578
2000-10-18,5.228,5.44,37830.0,-3.88,-0.03956642467884819,0.001565501961866967,0.0007046618143387735,0.0006975229839480529
2000-10-19,4.951,5.193,54410.0,-5.3,-0.0544392193826896,0.002963628606996607,0.001201396658519864,0.000824831947662865
2000-10-20,4.937,4.945,27860.0,-0.28,-0.0028317171025600872,8.018621748931296e-06,0.0011475118894365454,0.0008219690984474392
2000-10-23,5.072,4.92,33460.0,2.73,0.026977357858199005,0.0007277778370093316,0.0010915454669261813,0.0008534962998699103
2000-10-24,4.82,5.08,39130.0,-4.97,-0.050961289072415775,0.0025970529839223233,0.0015723960023088298,0.0009307702183552871
2000-10-25,4.659,4.835,37430.0,-3.34,-0.03397309522784933,0.001154171199360519,0.0014901298498075405,0.0009479322439970034
2000-10-26,4.664,4.655,43040.0,0.11,0.0010726162135314902,1.1505055415306313e-06,0.0008976342295165252,0.0009442562127398281
2000-10-27,4.541,4.65,51910.0,-2.64,-0.02672619693237707,0.0007142896024682014,0.001038888425660379,0.0009764924792286966
2000-10-30,4.485,4.7,48650.0,-1.23,-0.012408756605054649,0.00015397724048348736,0.0009241283063552104,0.0009244742121182891
2000-10-31,4.49,4.5,41470.0,0.11,0.0011142062434035577,1.2414555528394681e-06,0.0004049660006813135,0.0009179553683058763
2000-11-01,4.686,4.53,46310.0,4.37,0.04272663833144101,0.0018255656231057644,0.0005392448854303625,0.0009558114826288787
2000-11-02,4.76,4.702,39520.0,1.58,0.01566832815772467,0.0002454965072581477,0.0005881140857736859,0.0009669450056479684
2000-11-03,4.931,4.733,34100.0,3.59,0.03529413899866051,0.0012456762476567688,0.0006943914148113995,0.001018161824589972
2000-11-06,4.849,4.975,30910.0,-1.66,-0.01676930911877384,0.0002812097283209915,0.0007198379123789003,0.0009991842177304174
2000-11-07,5.081,4.86,36840.0,4.78,0.0467355944883796,0.0021842157921822575,0.001156432779704784,0.0010619381523092803
2000-11-08,5.338,5.14,52610.0,5.06,0.04934295837073756,0.0024347275407763398,0.0012782651632388992,0.0011370727622220338
2000-11-09,5.445,5.39,45290.0,2.0,0.019846705402591463,0.00039389171533725314,0.00130794420485472,0.0011545368285958083
2000-11-10,5.456,5.44,36280.0,0.2,0.0020181641562371953,4.07298656152059e-06,0.0010596235526356703,0.000929976057544395
2000-11-13,5.698,5.565,40120.0,4.44,0.043399315534555644,0.0018835005888679227,0.0013800817247450567,0.0009937736122160663
2000-11-14,6.016,5.69,51820.0,5.58,0.054307350571822156,0.0029492883261307925,0.0015330962315347637,0.0011152211512599423
2000-11-15,6.265,5.986,56110.0,4.14,0.040556001700492894,0.0016447892739303825,0.0013751085781655722,0.00114418384782218
2000-11-16,5.798,6.2,57980.0,-7.45,-0.07746555784856779,0.006000912652789803,0.002496512765656082,0.0014081889544485765
2000-11-17,6.1,5.75,54990.0,5.21,0.05077574067980176,0.002578175841582476,0.003011333336660273,0.001454219585344736
2000-11-20,6.249,6.201,36290.0,2.44,0.024132679767679074,0.0005823862327693469,0.002751110465440558,0.0013459812956071332
2000-11-21,6.408,6.189,42970.0,2.54,0.02512575881911361,0.0006313037562362653,0.002287513551461653,0.0013743124380838302
2000-11-22,6.577,6.4,31690.0,2.64,0.02603150455315585,0.0006776392293009738,0.0020940835425357707,0.0013720334104607229
2000-11-27,6.368,6.375,49820.0,-3.18,-0.032293265777132,0.0010428550145524847,0.0011024720148883073,0.0013013880482166396
2000-11-28,6.016,6.32,61040.0,-5.53,-0.05686286189454321,0.0032333850628378943,0.0012335138591393908,0.0013958977692837928
2000-11-29,6.181,6.139,41390.0,2.74,0.02705748402959751,0.0007321074420119244,0.0012634581009879063,0.0014291230845779018
2000-11-30,6.589,6.15,42210.0,6.6,0.06392152125454673,0.004085960879495469,0.001954389525639747,0.001582380869897323
2000-12-01,6.673,6.579,37180.0,1.27,0.012667941989786645,0.00016047675425659964,0.0018509570306308725,0.0015826763023415555
2000-12-04,7.433,7.055,36590.0,11.39,0.10786001182168682,0.01163378215017442,0.003969142457755259,0.0021114281520970817
2000-12-05,7.384,7.59,35280.0,-0.66,-0.006614048542605312,4.3745638123939454e-05,0.0033312145728124688,0.002030436334597908
2000-12-06,8.485,7.5,27610.0,14.91,0.13898440148563854,0.019316663856321165,0.007048125855674317,0.0028973075777371364
2000-12-07,8.373,8.61,22800.0,-1.32,-0.013287655463894855,0.0001765617877271748,0.006266246037320658,0.0028487114659221545
2000-12-08,8.584,8.375,20170.0,2.52,0.024887762106102555,0.0006194007026499543,0.006358030826999329,0.0028640837829371074
2000-12-11,9.413,9.35,17830.0,9.66,0.09219170723668593,0.00849931088321481,0.005731136573607407,0.003151133559802223
2000-12-12,8.145,9.49,22760.0,-13.47,-0.14468747051107486,0.020934464122893157,0.00990928027056125,0.0039920306771711695
2000-12-13,7.537,8.01,26360.0,-7.46,-0.07758001719267557,0.006018659067615837,0.007249679312820184,0.0042477019204565595
2000-12-14,7.413,7.5,18890.0,-1.65,-0.0165890091867501,0.00027519522579807923,0.007269406000434365,0.004260025658603676
2000-12-15,8.396,7.47,19200.0,13.26,0.12452018628380385,0.015505276792153211,0.010246581218335016,0.004879197304207552
2000-12-18,8.527,8.96,18870.0,1.56,0.015482197801525696,0.0002396984487655671,0.00859465873144517,0.00475603412796368
2000-12-19,9.102,8.69,14490.0,6.74,0.06525656983453769,0.004258419906569894,0.005259449888180516,0.004874835520356384
2000-12-20,9.326,9.119,21300.0,2.46,0.02431202879167888,0.0005910747439674228,0.004173933023450832,0.004628933797228094
2000-12-21,9.83,9.36,17370.0,5.4,0.05263273577294596,0.002770204874944745,0.004672934953280166,0.004637662389653651
2000-12-22,9.579,9.88,13550.0,-2.55,-0.0258657317583205,0.0006690360793933897,0.0017056868107282017,0.0046416010190456535
2000-12-26,9.805,9.85,21980.0,2.36,0.023319257247554917,0.0005437877585776425,0.001766504672690617,0.00463762301915208
2000-12-27,9.978,9.779,38950.0,1.76,0.017490209790536115,0.00030590743851696537,0.0009760021790800311,0.004620726119570988
2000-12-28,9.263,9.1,10330.0,-7.17,-0.07435469916695511,0.005528621288208396,0.001963511487928226,0.004824624586555348
2000-12-29,9.775,9.19,7870.0,5.53,0.05380013559953908,0.002894454590528792,0.001988361431045035,0.004809218655995844
2001-01-02,8.364,9.45,13750.0,-14.43,-0.15589132430504232,0.02430210499357988,0.0067149752138823335,0.005880582181067114
2001-01-03,8.189,8.3,18110.0,-2.09,-0.021144991278336016,0.0004471106561609062,0.006695639793398986,0.005715179898188271
2001-01-04,8.966,9.03,20680.0,9.49,0.09064785544519642,0.008217033696813227,0.008277865045058237,0.006081387031940844
2001-01-05,9.261,9.03,21120.0,3.29,0.03237238845488416,0.0010479715342739172,0.007381735094271343,0.005600213822127185
2001-01-08,9.689,9.605,16340.0,4.62,0.04517918721473526,0.002041158957384098,0.007211075967642403,0.00569100533663901
2001-01-09,9.819,9.75,18730.0,1.34,0.013328062784286113,0.0001776372575818725,0.002386182420442802,0.0048210495821508605
2001-01-10,9.128,9.82,22690.0,-7.04,-0.07297267162737868,0.005325010804437237,0.0033617624500980685,0.005055069992001318
2001-01-11,8.708,9.12,21260.0,-4.6,-0.04710446918747346,0.002218831017433637,0.00216212191422215,0.005127771369946031
2001-01-12,8.472,8.665,20670.0,-2.71,-0.027475535073195768,0.0007549050275584108,0.002103508612879049,0.004775752921961649
2001-01-16,8.103,8.45,20120.0,-4.36,-0.04453224482051704,0.001983120828754467,0.002091900987153123,0.003914328226773527
2001-01-17,6.909,8.06,28580.0,-14.74,-0.1594094539719304,0.025411374015629,0.0071386483387625484,0.004795815269865034
2001-01-18,7.136,6.89,18750.0,3.29,0.03232748577105044,0.0010450663362774689,0.006282659445130595,0.004830809411250461
2001-01-19,7.459,7.18,19160.0,4.53,0.044268961695317896,0.0019597409695815233,0.006230841435560172,0.004215103237497203
2001-01-22,7.457,7.85,15670.0,-0.03,-0.000268168411368409,7.191429685585623e-08,0.00607987481290786,0.004204211122294079
2001-01-23,6.946,7.363,21180.0,-6.85,-0.0709872342397755,0.0050391874250127556,0.006691088132159519,0.004239700554950573
2001-01-24,7.115,6.97,24390.0,2.43,0.02403927721993357,0.000577886849256817,0.001724390698885082,0.004239101105191
2001-01-25,7.27,7.17,22260.0,2.18,0.021551060003612187,0.00046444818727929294,0.0016082670690854468,0.004134293983024389
2001-01-26,7.256,7.3,33330.0,-0.19,-0.0019275787325923955,3.715559770342506e-06,0.0012170619871232106,0.004104052141223342
2001-01-29,6.293,7.105,39490.0,-13.27,-0.14239080826803893,0.020275142279225424,0.005272076060108924,0.005000931892161876
2001-01-30,6.097,6.11,27870.0,-3.11,-0.031641057619117396,0.001001156527256307,0.004464469880557634,0.0050325341234682104
2001-01-31,5.707,6.058,29440.0,-6.4,-0.06610335537110808,0.004369653591319003,0.005222823228970072,0.004979853773609602
2001-02-01,6.38,5.7,30310.0,11.79,0.1114746058021274,0.012426587738739696,0.007615251139262152,0.005413132553073733
2001-02-02,6.743,6.4,29890.0,5.69,0.05533683239574643,0.0030621650195949315,0.00822694103122707,0.004447680736074418
2001-02-05,5.706,6.2,24830.0,-15.38,-0.16698667696113664,0.027884550282523003,0.009748822631886585,0.0056948370827272395
2001-02-06,5.764,5.69,22050.0,1.02,0.010113425345967412,0.00010228137222845606,0.009569047600881016,0.005325984704337023
2001-02-07,6.235,5.79,25840.0,8.17,0.07854690099472417,0.006169615655875,0.009929040013792216,0.005558786709864345
2001-02-08,6.158,6.355,28650.0,-1.23,-0.012426529629691128,0.0001544186386375915,0.007474606193771795,0.0054730257862849584
2001-02-09,6.21,6.19,14150.0,0.84,0.008408846443078667,7.070869850327675e-05,0.006876314929553462,0.005468165397235932
2001-02-12,5.821,6.08,16220.0,-6.26,-0.06468882765578902,0.004184644423480375,0.002136333757744938,0.005416330561737893
2001-02-13,6.019,5.79,24440.0,3.4,0.03344906427603536,0.001118839900942345,0.0023396454634877157,0.005366330965533743
2001-02-14,5.518,6.02,31600.0,-8.32,-0.08690565677053949,0.0075525931787188165,0.002616240968056479,0.005675316790586488
2001-02-15,5.594,5.52,23230.0,1.38,0.013679118984673696,0.0001871182961968603,0.002622780899568333,0.00559368031183387
2001-02-16,5.568,5.594,19700.0,-0.46,-0.004658671747649542,2.1703222452348035e-05,0.002612979804358147,0.004439604366689476
2001-02-20,5.278,5.318,18590.0,-5.21,-0.053488684950986236,0.0028610394177858616,0.0023482588032192444,0.004522148597667131
2001-02-21,5.146,5.28,27450.0,-2.5,-0.02532752422157986,0.0006414834831947145,0.0022527875196697183,0.0044622278028313665
2001-02-22,5.142,5.15,21780.0,-0.08,-0.0007776050158545621,6.046695606821738e-07,0.0007423898178380913,0.004462252018979723
2001-02-23,5.131,5.14,30540.0,-0.21,-0.002141536883869962,4.5861802249754665e-06,0.0007058833946437142,0.004233406507853006
2001-02-26,4.998,5.131,40080.0,-2.59,-0.02626273954706714,0.0006897314885170843,0.0008394890478566616,0.004238490355092109
2001-02-27,5.279,5.11,27010.0,5.62,0.05469885342871853,0.002991964566416433,0.0008656740775827758,0.004353377463234705
2001-02-28,5.236,5.31,26910.0,-0.81,-0.00817883779382576,6.689338765771262e-05,0.0007507560584753754,0.004356249182684131
2001-03-01,5.186,5.204,15070.0,-0.95,-0.00959516093118086,9.206711329525955e-05,0.0007690485472222909,0.0034388366751418515
2001-03-02,5.27,5.18,10920.0,1.62,0.016067675436798292,0.00025817019394229116,0.000819765349965754,0.0034050645690821236
2001-03-05,5.336,5.355,15060.0,1.25,0.01244594606005179,0.00015490157332971865,0.0007127993669282808,0.003213484931900792
2001-03-06,5.315,5.355,9160.0,-0.39,-0.003943296819411272,1.5549589805979054e-05,0.00011751637160619013,0.002649346834221987
2001-03-07,5.35,5.32,27480.0,0.66,0.006563549114003847,4.308017697194069e-05,0.00011275372946903575,0.002512115705011851
2001-03-08,5.285,5.345,14400.0,-1.21,-0.012223941585714146,0.00014942474789095167,0.00012422525638817417,0.0012514281807103943
2001-03-09,5.072,5.27,27720.0,-4.03,-0.04113740218727614,0.001692285858717712,0.0004110483893432583,0.0013237011119144515
2001-03-12,5.159,5.044,23350.0,1.72,0.017007545127588005,0.00028925659126694247,0.00043791939293070316,0.0010564120635231761
2001-03-13,5.006,5.164,28640.0,-2.97,-0.030105569252930345,0.000906345300042985,0.0006160785349781043,0.001090590548132512
2001-03-14,4.911,5.01,23900.0,-1.9,-0.019159605952475105,0.00036709050025411947,0.0006808805996345401,0.0011040624482120957
2001-03-15,4.927,4.9,21060.0,0.33,0.0032526965047185285,1.0580034551808133e-05,0.0006531116569667113,0.0009143322487153428
2001-03-16,5.035,4.96,15100.0,2.19,0.02168324260869962,0.0004701630100277267,0.0004086870872287143,0.0008848469354919512
2001-03-19,5.063,5.11,18560.0,0.56,0.005545666817246479,3.075442044790869e-05,0.00035698665306490755,0.0005429451737523644
2001-03-20,5.287,5.105,34710.0,4.42,0.04329178426554115,0.0018741785848941563,0.0005505533100351418,0.0006196297323295141
2001-03-21,5.041,5.28,28570.0,-4.65,-0.047646502152819244,0.002270189167398609,0.0009311730434640398,0.0007218336389179805
2001-03-22,5.212,5.02,24080.0,3.39,0.03335918416210475,0.0011128351679612206,0.0011516240701459222,0.0006423698093804968
2001-03-23,5.273,5.2,23110.0,1.17,0.011635801285733997,0.00013539187156108893,0.0010846698424525946,0.000619365645215332
2001-03-26,5.322,5.22,23090.0,0.93,0.00924971200716474,8.555717221548755e-05,0.0010956303928061103,0.0006232271226087323
2001-03-27,5.621,5.32,27730.0,5.62,0.05466041146444049,0.0029877605814619375,0.001318346792119667,0.0007588259590285941
2001-03-28,5.384,5.62,34610.0,-4.22,-0.0430779916775112,0.0018557133669677244,0.0012354516320334896,0.0008118251353218052
